ACTION_CONTRACT   ACTION_CONTRACT_BI;
COMPPHONES   COMPOFFICES_BEFORE_DELETE;COMPPHONES_AFTER_INSERT;COMPPHONES_AFTER_UPDATE;COMPPHONES_BEFORE_UPDATE;COMPPHONESTRIGGER1;COMPANIES_BEFORE_DELETE;
COMPTAXSYSTEMLOG   COMPANIES_BEFORE_DELETE;COMPTAXSYSTEMLOG_BI;TAXSYSTEM_BD0;
COMPWEBSITES   CHECK_47;CHECK_48;COMPOFFICES_BEFORE_DELETE;COMPWEBSITESTRIGGER1;COMPANIES_BEFORE_DELETE;
COMP_CONTRACTS_KIND   COMP_CONTRACTS_KIND_BI;
COMP_TYPEDOCUM   COMP_TYPEDOCUM_BI;COMP_TYPEDOCUM_LNG_BI;
COMP_TYPEDOCUM_LNG   COMP_TYPEDOCUM_LNG_BI;
COMUNICATION_COMPANY   COMUNICATION_COMPANY_BI;
COMUNICATION_COMP_OFFICE   COMUNICATION_COMP_OFFICE_BI;
COMUNICATION_COMP_PERSON   COMUNICATION_COMP_PERSON_BI;
COMUNICATION_PERSON   COMUNICATION_PERSON_BI;
COMUNICATION_TYPE   COMUNICATION_TYPE_BI;
CONTINENTS   CONTINENTS_CHECK_DELETE;CONTINENTSTRIGGER1;
CONTRACTLOG   COMPCONTRACTS_AFTER_DELETE;CONTRACTLOGTRIGGER1;
CONTRACTTEMPLATES   CONTRACTTEMPLATES_BI;
COUNTRIES   CONTINENTS_CHECK_DELETE;CURRENCY_AFTER_DELETE;COUNTRIESTRIGGER1;ORDERCNTRIES_CHECK_DELETE;TOURCOUNTRIES_BI;CURRENCY_CHECK_DELETE;TOURES_AFTERDELETE;CITIEST_CHECK_DELETE;CITIES_NEWREC_TRIG;COUNTRIES_CHECK_DELETE;COUNTRIES_INFO_BI;COUNTRIES_LNG_BI;COUNTRIES_TYPE_INFO_BI;COUNTRIES_CAR_SPEED_INFO_BI;COUNTRIES_INFO_LNG_BI;COUNTRIES_MOVE_TIME_BI;COUNTRIES_TYPE_INFO_LNG_BI;
COUNTRIES_CAR_SPEED_INFO   COUNTRIES_CAR_SPEED_INFO_BI;
COUNTRIES_INFO   COUNTRIES_INFO_BI;COUNTRIES_INFO_LNG_BI;
COUNTRIES_INFO_LNG   COUNTRIES_INFO_LNG_BI;
COUNTRIES_LNG   COUNTRIES_LNG_BI;
