ACTION_CONTRACT   ACTION_CONTRACT_BI;
PERSOTHERSERVS   PERSONS_BEFOREDELETE;PERSONS_BEFOREUPDATE;PERSOTHERSERVSTRIGGER1;CURRENCY_CHECK_DELETE;BILLS_BI1;SERVCOSTS_AFTER_UPDATE;SERVCOSTS_AFTER_INSERT;
PERSRESORTTAXES   PERSONS_BEFOREDELETE;PERSONS_BEFOREUPDATE;PERSRESORTTAXESTRIGGER1;CURRENCY_CHECK_DELETE;HTLROOMING_AFTER_UPDATE;SERVCOSTS_AFTER_UPDATE;SERVCOSTS_AFTER_INSERT;CITIEST_CHECK_DELETE;
PERSVISAHOTELS   PERSVISAHOTELS_BI0;PERSVISAS_AU1;
PERSVISAS   PERSONS_BEFOREDELETE;PERSONS_BEFOREUPDATE;ORDERCNTRIES_CHECK_DELETE;CURRENCY_CHECK_DELETE;VISADOCUMENTS_BEFORE_INSERT;VISADOCUMENTS_DELETE_TRIGGER;PERSVISASTRIGGER1;SERVCOSTS_AFTER_UPDATE;SERVCOSTS_AFTER_INSERT;VISAPERSDOCUMENTS_AI0;VISAPERSDOCUMENTS_AU0;VISAPERSDOCUMENTS_AD0;PERSVISAS_AU0;CNTREMBASSIES_BD0;CITIEST_CHECK_DELETE;PERSVISAS_AD0;PERSONS_AU0;
PERSVISATOREGISTR   PERSVISATOREGISTR_BI;PERSVISAS_AU0;PERSVISAS_AD0;PERSONS_AU0;
PLACES   SHEDITEMS_CHECK_DELETE;LEAVINGS_AFTERINSERT;LEAVINGS_BEFOREUPDATE;LEAVINGS_CHECKDELETE;PERSONS_BEFOREDELETE;PERSONS_BEFOREUPDATE;PLACESTRIGGER1;TRANSPLACESTRIGGER1;CURRENCY_CHECK_DELETE;ORDERS_BEFORE_DELETE;SERVCOSTS_AFTER_UPDATE;SERVCOSTS_AFTER_INSERT;CHECK_297;CHECK_298;
POSADA   POSADA_BI;
POWER_VOLT_FREQ   POWER_VOLT_FREQ_BI;
PROGRAMLOG   PROGRAMLOGTRIGGER1;
PROMOPROGRAMS   PROMOPROGRAMSTRIGGER1;
PROVINCES   COUNTRIES_AFTER_DELETE;PROVINCESTRIGGER1;NAMELISTS_CHECH_DELETE;CITIEST_CHECK_DELETE;PROVINCES_CHECK_DELETE;PROVINCES_LNG_BI;
PROVINCES_LNG   PROVINCES_LNG_BI;
PURCHASES   PURCHASESTRIGGER1;COMPANIES_CHECK_DELETE;
RATE_GROUP_DATE   RATE_GROUP_DATE_BI;
RATE_LINE   RATE_LINE_SEASON_BI;RATE_LINE_BI;RATE_LINE_DATE_BI;RATE_LINE_CATEGORY_BI;RATE_LINE_SERV_BI;RATE_LINE_SERV_DETAIL_BI;
RATE_LINE_CATEGORY   RATE_LINE_CATEGORY_BI;
RATE_LINE_DATE   RATE_LINE_DATE_BI;
RATE_LINE_SEASON   RATE_LINE_SEASON_BI;
RATE_LINE_SERV   RATE_LINE_SERV_BI;RATE_LINE_SERV_DETAIL_BI;
RATE_LINE_SERV_DETAIL   RATE_LINE_SERV_DETAIL_BI;
REKLAMA   CHECK_105;CHECK_106;REKLAMA_CHECK_DELETE;REKLAMATRIGGER1;COMPANIES_CHECK_DELETE;
RELIGION   RELIGION_BI;RELIGION_LNG_BI;
RELIGION_LNG   RELIGION_LNG_BI;
REPOSITS   TMUSERS_CHECK_DELETE;REPOSITSTRIGGER1;ORDERS_AFTER_UPDATE;REPOSITS_AFTER_UPDATE;REPOSITS_BEFORE_INSERT;
RESORT   CHECK_139;CHECK_140;PERSONS_BEFOREDELETE;PERSONS_BEFOREUPDATE;PERSRESORTTAXESTRIGGER1;PERSRESORTTAXES_BEFORE_UPDATE;CURRENCY_CHECK_DELETE;RESORTIMAGES_BI;RESORTIMAGES_BI0;RESORTIMAGES_AI0;RESORTCITYLNK_BI;HTLROOMING_AFTER_UPDATE;SERVCOSTS_AFTER_UPDATE;TOURRESORTTAXESTRIGGER1;SERVCOSTS_AFTER_INSERT;RESORTIMAGES_BU0;RESORTIMAGES_AU0;OBJECTLINKS_AD0;RESORTLINKS_BI;CITIEST_CHECK_DELETE;RESORT_BI;
RESORTCITYLNK   RESORTCITYLNK_BI;
RESORTIMAGES   RESORTIMAGES_BI;RESORTIMAGES_BI0;RESORTIMAGES_AI0;RESORTIMAGES_BU0;RESORTIMAGES_AU0;
RESORTLINKS   RESORTLINKS_BI;
ROOMEXPANDNAMES   ROOMEXPANDNAMES_AD0;ROOMEXPANDNAMES_LNG_BI;
ROOMEXPANDNAMES_LNG   ROOMEXPANDNAMES_LNG_BI;
ROOMINGSTATUS   ROOMINGSTATUS_TRIGGER1;COMPANIES_CHECK_DELETE;
ROOMMOVELOG   ROOMMOVELOG_BI;
ROOMSERVLNK   SERVICES_CHECK_DELETE;CURRENCY_CHECK_DELETE;SERVICES_AFTER_UPDATE;ROOMSERVLNKTRIGGER1;
ROOMTYPES   ROOMTYPES_CHECK_DELETE;ROOMTYPESTRIGGER1;ROOMTYPES_AD0;ROOMTYPES_LNG_BI;
ROOMTYPES_LNG   ROOMTYPES_LNG_BI;
ROOMVIEWS   HTLROOMVIEWSTRIGGER1;HTLROOMS_AFTER_INSERT;HTLROOMS_AFTER_DELETE;ROOMVIEWS_BI;
ROUTES   DRVKINDS_CHECK_DELETE;ROUTES_CHECK_DELETE;ROUTESTRIGGER1;TRANSROUTESTRIGGER1;COMPANIES_CHECK_DELETE;CITIEST_CHECK_DELETE;
SCHEDITEM_TOURS   SCHEDITEM_TOURS_BI;SCHEDITEM_TOURS_WEB_TEMPLATE_BI;SCHEDITEM_TOURS_WEB_TIME_BI;
SCHEDITEM_TOURS_WEB_TIME   SCHEDITEM_TOURS_WEB_TIME_BI;
SCHEDITEM_TOUR_DESRIPT   SCHEDITEM_TOUR_DESRIPT_BI;
SCHED_TOUR_WEB_TEM_LNG   SCHED_TOUR_WEB_TEM_LNG_BI;
SCHED_TOUR_WEB_TIME_LNG   SCHED_TOUR_WEB_TIME_LNG_BI;
SERVCOSTS   PERSONS_BEFOREDELETE;PERSONS_BEFOREUPDATE;HTLROOMING_AFTER_DELETE;PERSEXCURS_AFTER_DELETE;PERSINSURES_AFTER_DELETE;PERSVISAS_AFTER_DELETE;PLACES_AFTER_DELETE;SERVCOSTSTRIGGER1;PERSOTHERSERVS_AFTER_DELETE;
SERVGROUPS   SERVGROUPSTRIGGER1;SERVGROUPS_AD0;SERVGROUPS_LNG_BI;
SERVGROUPS_LNG   SERVGROUPS_LNG_BI;
SERVICES   SERVGROUPS_CHECK_DELETE;SERVICES_BEFORE_INSERT;SERVICES_BEFORE_UPDATE;SERVICES_AD0;HTLSERVLNK_AFTER_INSERT;HBLDSERVLNK_AFTER_INSERT;ROOMSERVLNK_AFTER_INSERT;SERVICESTRIGGER1;DRVSERVLINKS_AFTER_INSERT;INTRSTSERVLNK_AFTER_INSERT;SERVICESKIND_BI;SERVICESKIND_LNG_BI;OTHERSERVICES_BI;OTHERSERVICES_LINK_BI;SERVICES_LNG_BI;
SERVICESKIND   SERVICESKIND_BI;SERVICESKIND_LNG_BI;
SERVICESKIND_LNG   SERVICESKIND_LNG_BI;
SERVICES_LNG   SERVICES_LNG_BI;
SERVICE_TYPE   SERVICE_TYPE_BI;SERVICE_TYPE_LNG_BI;SERVICE_TYPE_CONDITION_BI;SERVICE_TYPE_COND_LNG_BI;
SERVICE_TYPE_CONDITION   SERVICE_TYPE_CONDITION_BI;
SERVICE_TYPE_COND_LNG   SERVICE_TYPE_COND_LNG_BI;
SERVICE_TYPE_LNG   SERVICE_TYPE_LNG_BI;
SERVTRANSLATE   NAMELISTS_AD0;ROOMTYPES_AD0;SERVGROUPS_AD0;SERVICES_AD0;ROOMEXPANDNAMES_AD0;ITEM_DESCRIPTION_AD0;SERVTRANSLATE_BI;EXCURSSHABLONDETAILS_AD0;
SHEDITEMS   SHEDULES_AFTER_DELETE;SHEDITEMS_CHECK_DELETE;SHEDITEMS_AFTER_UPDATE;SHEDITEMSTRIGGER1;STOPS_CHECK_DELETE;SHEDITEMS_AFTER_INSERT;
SHEDULES   ROUTES_AFTER_INSERT;SHEDULES_BEFORE_INSERT;SHEDULES_CHECK_DELETE;SHEDULESTRIGGER1;
SHEMA_VEHICLE_DETAIL   SHEMA_VEHICLE_DETAIL_BI;
SHEMA_WEB_SYNCHRONIZE   SHEMA_WEB_SYNCHRONIZE_BI;
SHEMA_WEB_SYNCHR_FILES   SHEMA_WEB_SYNCHR_FILES_BI;
SPECIALDATES   SPECIALDATES_BI;
STOPS   CHECK_247;CHECK_248;STOPSTRIGGER1;TOURGROUPSTRIGGER1;STOPS_AI0;CITIEST_CHECK_DELETE;
TAXSYSTEM   COMPANIES_BEFORE_DELETE;TAXSYSTEM_BI;TAXSYSTEMDETAILS_BI;TAXSYSTEM_AD0;COMPTAXSYSTEMLOG_BI;TAXSYSTEM_BD0;
TAXSYSTEMDETAILS   TAXSYSTEMDETAILS_BI;TAXSYSTEM_AD0;TAXSYSTEM_BD0;
TEMPLAGREEMENTS   TEMPLAGREEMENTS_BI;
TG_LEAVING_LINKS   LEAVINGS_CHECKDELETE;TG_LEAVING_LINKS_BI;
TIME_ZONE   TIME_ZONE_BI;
TMUSERPERMS   TMUSERPERMSTRIGGER1;
TMUSERS   TMUSERPERMS_CHECK_DELETE;COMPPERSONS_CHECK_DELETE;TMUSERSTRIGGER1;TMUSERS_PASPORT_BI;TMUSERS_INFO_BI;TMUSERS_PERM_LAY_SHEM_BI;TMUSERS_PERM_LAYOUT_BI;TMUSERS_PERM_PR_BI;TMUSERS_PERM_PR_SHEMA_BI;TMUSERS_PERM_USER_CAT_BI;TMUSERS_PERM_OCCUPATION_BI;
TMUSERS_INFO   TMUSERS_INFO_BI;
TMUSERS_PASPORT   TMUSERS_PASPORT_BI;
TMUSERS_PERM_LAYOUT   TMUSERS_PERM_LAYOUT_BI;
TMUSERS_PERM_LAY_SHEM   TMUSERS_PERM_LAY_SHEM_BI;
TMUSERS_PERM_OCCUPATION   TMUSERS_PERM_OCCUPATION_BI;
TMUSERS_PERM_PR   TMUSERS_PERM_PR_BI;TMUSERS_PERM_PR_SHEMA_BI;
TMUSERS_PERM_PR_SHEMA   TMUSERS_PERM_PR_SHEMA_BI;
TMUSERS_PERM_USER_CAT   TMUSERS_PERM_USER_CAT_BI;
TMUSER_PERM_PERSON   TMUSER_PERM_PERSON_BI;
TOURCOUNTRIES   TOURCOUNTRIES_BI;TOURES_AFTERDELETE;
TOURES   SPECIALDATES_BD0;TOURES_CHECK_DELETE;TOURESTRIGGER1;BONUSPROGRAMS_AFTER_UPDATE;BONUSPROGRAMS_CHECK_DELETE;TOURES_BEFOR_UPDATE;COUNTRIES_CHECK_DELETE;TOURES_TYPE_DESRIPT_BI;TOURES_TYPE_DESRIPT_LNG_BI;TOURESKIND_BI;TOURESKIND_LNG_BI;
TOURESKIND   TOURESKIND_BI;TOURESKIND_LNG_BI;
TOURESKIND_LNG   TOURESKIND_LNG_BI;
TOURES_TYPE_DESRIPT   TOURES_TYPE_DESRIPT_BI;TOURES_TYPE_DESRIPT_LNG_BI;
TOURES_TYPE_DESRIPT_LNG   TOURES_TYPE_DESRIPT_LNG_BI;
TOUREXCURS   TOURTEMPLATES_BEFORE_DELETE;TOUREXCURSTRIGGER1;EXCURSION_CHECK_DELETE;EXCVENDORS_CHECK_DELETE;
TOURGROUPHOTELTEMPLATES   TOURGROUPHOTELTEMPLATES_BI;TOURGROUPVISATEMPLATES_AD0;
TOURGROUPPROMO   PROMOPROGRAMS_CHECK_DELETE;TOURGROUPPROMO_BI;
TOURGROUPS   TOURGROUPS_CHECK_DELETE;TOURGROUPSTRIGGER1;TOURES_AFTERDELETE;TOURES_AFTER_UPDATE;TOURES_CHECK_DELETE;ORDERS_BEFORE_UPDATE;
TOURGROUPVISATEMPLATES   TOURGROUPVISATEMPLATES_BI;
TOURINSURES   TOURTEMPLATES_BEFORE_DELETE;TOURINSURESTRIGGER1;INSUREVALUES_CHECK_DELETE;
TOURINTERESTS   TOURINTERESTS_BI;
TOURINTRSTUPD   TOURINTRSTUPD_BI;
TOURIST   TOURIST_BEFOREDELETE;TOURIST_BEFOREUPDATE;TOURISTANKETSTRIGGER1;TOURISTRELATSTRIGGER1;TOURISTTEMPLATESTRIGGER1;TOURISTVISITSTRIGGER1;TOURIST_CHECKDELETE;TOURISTANKETTEMPLATES_BI;TOURISTTRIGGER1;VISAPERSDOCUMENTS_AU0;CITIEST_CHECK_DELETE;TOURISTRELATS_AU0;PERSONS_BI0;PERSONS_BU0;
TOURISTANKETS   TOURIST_BEFOREDELETE;TOURIST_BEFOREUPDATE;TOURISTANKETSTRIGGER1;CITIEST_CHECK_DELETE;
TOURISTANKETTEMPLATES   TOURISTANKETTEMPLATES_BI;
TOURISTRELATS   TOURIST_BEFOREDELETE;TOURIST_BEFOREUPDATE;TOURISTRELATSTRIGGER1;
TOURISTTEMPLATES   TOURISTTEMPLATESTRIGGER1;
TOURISTVISITS   TOURIST_BEFOREDELETE;TOURIST_BEFOREUPDATE;TOURISTVISITSTRIGGER1;
TOURKINDS   TOURKINDS_BI;
TOURKIND_LINKS   TOURKIND_LINKS_BI;
TOURNAMES   TOURNAMES_BI;
TOUROTHERS   TOURTEMPLATES_BEFORE_DELETE;
TOURPENALTIES   TOURPENALTIES_BEFORE_INSERT;
TOURRESORTTAXES   TOURRESORTTAXESTRIGGER1;CITIEST_CHECK_DELETE;
TOURROOMS   TOURTEMPLATES_BEFORE_DELETE;HOTELS_CHECK_DELETE;HTLVENDORS_CHECK_DELETE;
TOURTEMPLATES   TOURVARIANTS_CHECK_DELETE;TOURTEMPLATESTRIGGER1;TOURTEMPLATES_CHECK_DELETE;
TOURTRIPS   LEAVINGS_CHECKDELETE;TOURTEMPLATES_BEFORE_DELETE;
TOURVARIANTS   TOURVARIANTSTRIGGER1;TOURVARIANTS_CHECK_DELETE;
TOURVENDORCONTRACTS   TOURVENDORCONTRACTS_BI;
TOURVISAS   TOURTEMPLATES_BEFORE_DELETE;TOURVISASTRIGGER1;CITIEST_CHECK_DELETE;
TOWNSHIPS   TOWNSHIPSTRIGGER1;NAMELISTS_CHECH_DELETE;CITIEST_CHECK_DELETE;TOWNSHIPS_LNG_BI;
TOWNSHIPS_LNG   TOWNSHIPS_LNG_BI;
TRADENAMES   COMPANIES_AU0;TRADENAMES_BI;COMPANIES_BI1;
TRANSFERS   TRANSFERSTRIGGER1;COMPANIES_CHECK_DELETE;
TRANSPLACES   TRANSPLACESTRIGGER1;
TRANSROUTES   TRANSROUTESTRIGGER1;
TR_AGES   TOURTRIPS_AD0;TOURROOMS_AD0;TOURINSURES_AD0;TOUREXCURS_AD0;TOURVISAS_AD0;TOUROTHERS_AD0;TR_AGES_BI;
TR_PERIODS   TOURTRIPS_AD0;TOURROOMS_AD0;TOURINSURES_AD0;TOUREXCURS_AD0;TOURVISAS_AD0;TOUROTHERS_AD0;TR_PERIODS_BI;
TR_RATES   TR_AGES_AD0;TR_PERIODS_AD0;TOURRATES_BI;
TYPENOTE   TYPENOTE_BI;
TYPE_POW_SOCKETS   TYPE_POW_SOCKETS_BI;
UNIT_MEASUR   UNIT_MEASUR_BI;UNIT_MEASUR_LNG_BI;
UNIT_MEASUR_LNG   UNIT_MEASUR_LNG_BI;
USER_CATEGORY   USER_CATEGORY_BI;
USER_SIGN   USER_SIGN_BI;
VATS   VATS_BI;
VENDORLINKS   HTLVENDORS_AD0;VENDORLINKS_BI;
VISADOC   COUNTRIES_AFTER_DELETE;VISADOCLINKS_BI0;NAMELISTS_AD0;VISADOCMOVEARH_BI;VISADOCSTATUSLOG_BI;PERSVISAS_AFTER_DELETE;PERSVISAS_AFTER_INSERT;VISADOCUMENTS_BEFORE_INSERT;VISADOCUMENTS_BEFORE_UPDATE;VISADOCUMENTS_DELETE_TRIGGER;PERSVISAS_AFTER_UPDATE;VISADOCUMENTSTRIGGER1;NAMELISTS_CHECH_DELETE;VISADOCMOVELOG_AI0;VISADOCMOVELOG_BI;VISAPERSDOCUMENTS_AI0;VISAPERSDOCUMENTS_AU0;VISAPERSDOCUMENTS_AD0;VISADOCTRANSFERLOG_BI;VISADOC_BI;
VISADOCLINKS   VISADOCLINKS_BI0;NAMELISTS_AD0;
VISADOCMOVEARH   VISADOCMOVEARH_BI;VISADOCMOVELOG_BI;
VISADOCMOVELOG   PERSVISAS_AFTER_DELETE;PERSVISAS_AFTER_INSERT;PERSVISAS_AFTER_UPDATE;VISADOCMOVELOG_AI0;VISADOCMOVELOG_BI;VISAPERSDOCUMENTS_AI0;VISAPERSDOCUMENTS_AU0;VISAPERSDOCUMENTS_AD0;
VISADOCSTATUSLOG   VISADOCSTATUSLOG_BI;PERSVISAS_AFTER_DELETE;VISADOCMOVELOG_AI0;
VISADOCTRANSFERLOG   VISADOCTRANSFERLOG_BI;
VISADOCUMENTS   COUNTRIES_AFTER_DELETE;VISADOCUMENTS_BEFORE_INSERT;VISADOCUMENTS_BEFORE_UPDATE;VISADOCUMENTS_DELETE_TRIGGER;VISADOCUMENTSTRIGGER1;NAMELISTS_CHECH_DELETE;
VISADOCUMENTS_NEW   VISADOCUMENTS_BEFORE_INSERT;VISADOCUMENTS_BEFORE_UPDATE;VISADOCUMENTS_DELETE_TRIGGER;NAMELISTS_CHECH_DELETE;
VISAOBJECTS   VISAOBJECTS_BI;
VISAPERSDOCUMENTS   VISAPERSDOCUMENTS_BI0;VISADOCUMENTS_BEFORE_INSERT;VISADOCUMENTS_BEFORE_UPDATE;VISADOCUMENTS_DELETE_TRIGGER;PERSVISAS_BEFORE_DELETE;VISAPERSDOCUMENTS_AU1;
VISASHABLONS   VISASHABLONS_BI;
VISASUBGROUPDOC   VISASUBGROUPDOC_BI;
VISATYPEDOCS   VISATYPEDOCS_BI;VISAPERSDOCUMENTS_AU1;NAMELISTS_CHECH_DELETE;
